Age,Turnover,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,Yes,Non-Travel,241,Hardware,16,3,Technical Degree,1,3505,1,Female,67.0,3,3,Manufacturing Director,1,Married,36809.0,294472.0,1,Y,Yes,18.0,1.0,1,80,4,35,4.0,4.0,13,2,8,11
35,Yes,Non-Travel,679,Support,7,2,Life Sciences,1,1129,3,Male,122.0,2,5,Research Director,2,Single,1690.0,32110.0,6,Y,Yes,5.0,4.0,1,80,1,5,1.0,1.0,4,3,3,4
27,Yes,Travel_Frequently,359,Hardware,50,1,Life Sciences,1,6305,4,Female,199.0,1,1,Sales Representative,3,Single,50883.0,865011.0,8,Y,Yes,7.0,2.0,4,80,4,10,4.0,2.0,4,2,4,2
44,No,Travel_Rarely,1133,Software,12,5,Life Sciences,1,4595,2,Female,150.0,2,4,Research Director,3,Divorced,11166.0,89328.0,5,Y,No,34.0,3.0,4,80,3,19,4.0,1.0,14,7,12,2
56,No,Travel_Rarely,118,Software,43,2,Human Resources,1,7203,2,Female,115.0,3,1,Developer,2,Married,42537.0,1063425.0,6,Y,Yes,49.0,2.0,2,80,1,3,3.0,4.0,1,1,1,1
34,Yes,Travel_Frequently,1073,Human Resources,11,4,Other,1,4319,3,Female,122.0,2,1,Laboratory Technician,2,Divorced,19182.0,211002.0,7,Y,Yes,32.0,2.0,1,80,3,12,6.0,1.0,10,9,9,7
59,No,Travel_Rarely,1265,Sales,40,5,Technical Degree,1,7888,2,Female,64.0,3,4,Human Resources,4,Single,22423.0,224230.0,7,Y,No,24.0,1.0,2,80,1,30,4.0,2.0,10,6,9,3
28,No,Travel_Frequently,1468,Research & Development,24,4,Human Resources,1,622,1,Male,59.0,3,4,Healthcare Representative,2,Married,4929.0,69006.0,6,Y,No,28.0,2.0,2,80,3,19,3.0,2.0,9,1,1,8
34,No,Travel_Frequently,511,Software,43,3,Human Resources,1,5017,2,Male,138.0,2,3,Research Scientist,1,Married,44491.0,622874.0,0,Y,Yes,7.0,3.0,1,80,2,40,5.0,2.0,18,10,13,12
26,No,Non-Travel,604,Support,45,1,Other,1,5550,1,Female,79.0,3,2,Manufacturing Director,4,Married,44253.0,1194831.0,0,Y,No,31.0,3.0,3,80,1,31,1.0,1.0,28,21,21,3
42,No,Travel_Frequently,326,Hardware,17,1,Life Sciences,1,249,4,Male,105.0,3,1,Laboratory Technician,4,Divorced,44010.0,704160.0,6,Y,Yes,5.0,3.0,4,80,3,22,1.0,4.0,9,5,6,6
22,Yes,Travel_Frequently,449,Support,10,1,Life Sciences,1,1735,3,Male,100.0,2,1,Developer,1,Married,49201.0,1328427.0,7,Y,No,8.0,2.0,3,80,1,4,1.0,3.0,2,2,2,1
